name,category,reference,description,url,img_names
Set de Destornilladores Everest,bicicleta,HE-223,"Set de destornilladores metálico con carabinero. Empaque Caja Individual. Medidas: 7 cm x 2.7 cm x 1.1 cm Marca: 2.4 cm / Láser / Tampografía Unidades por Caja: 1000   Unidades  Empaque: 28,0    X 19,0 X 19,0 / 10,0 Kg",https://www.catalogospromocionales.com/p/set-de-destornilladores-everest/7991/414,"['HE-223_1.jpg', 'HE-223_2.jpg', 'HE-223_3.jpg', 'HE-223_4.jpg']"
Clip Luminoso Bright,bicicleta,IL-106,"Clip luminoso plástico con frente reflectivo y dos luces tipo led: una color blanco fija y una color rojo intermitente. Medidas: 6 cm x 3 cm x 1 cm Marca: 2 cm / Tampografía Unidades por Caja: 400   Unidades  Empaque: 34,0    X 20,5 X 38,0 / 7,5 Kg",https://www.catalogospromocionales.com/p/Clip-Luminoso-Bright/8020/414,"['IL-106_1.jpg', 'IL-106_2.jpg', 'IL-106_3.jpg', 'IL-106_4.jpg', 'IL-106_5.jpg']"
Speaker Bluetooth Aquapod - Boompods,bicicleta,BP-07,"Speaker Bluetooth de 3W, resistente al agua (no sumergible), tecnología IPX7. Batería integrada recargable para 5 horas de reproducción. Antigolpes. Sirve para ducha. Incluye carabinero, chupa, soporte para bicicleta y cordón. Empaque Caja Individual. Medidas: 8.8 cm diámetro Marca: 3 cm / Tampografía en silicona a una tinta Unidades por Caja: 36   Unidades  Empaque: 55,0    X 39,5 X 44,5 / 14,7 Kg",https://www.catalogospromocionales.com/p/speaker-bluetooth-aquapod-boompods/7371/414,"['BP-07_1.jpg', 'BP-07_2.jpg', 'BP-07_3.jpg', 'BP-07_4.jpg', 'BP-07_5.jpg']"
Audifonos Bluetooth TWS Bassline Boompods,bicicleta,BP-19,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. A prueba de sudor. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 50,0    X 48,0 X 26,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-bassline-boompods/9642/414,"['BP-19_1.jpg', 'BP-19_2.jpg', 'BP-19_3.jpg', 'BP-19_4.jpg', 'BP-19_5.jpg', 'BP-19_6.jpg', 'BP-19_7.jpg']"
Set de Herramientas para Bicicleta,bicicleta,HE-212,"Herramienta metálica para bicicleta con 4 llaves bristol y 2 destornilladores. Empaque Caja Individual. Medidas: 9 cm x 1.5 cm x 2.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 100   Unidades  Empaque: 23,0    X 19,0 X 23,0 / 14,0 Kg",https://www.catalogospromocionales.com/p/set-de-herramientas-para-bicicleta/6774/414,['HE-212_1.jpg']
Audifonos Bluetooth Boompods Boombuds XR,bicicleta,BP-18,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Resistente a la humedad, tecnología IPX7. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Conexión automática. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 53,0    X 34,0 X 47,0 / 10,8 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-boompods-boombuds-XR/9641/414,"['BP-18_1.jpg', 'BP-18_2.jpg', 'BP-18_3.jpg', 'BP-18_4.jpg', 'BP-18_5.jpg', 'BP-18_6.jpg']"
Gorra Mesh,bicicleta,CAP-26,"Gorra combinada con malla poliéster y tela poliéster, 6 paneles, con cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 45,0    X 65,0 X 38,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/gorra-mesh/7374/414,"['CAP-26_1.jpg', 'CAP-26_2.jpg', 'CAP-26_3.jpg', 'CAP-26_4.jpg', 'CAP-26_5.jpg', 'CAP-26_6.jpg', 'CAP-26_7.jpg']"
Audifonos Bluetooth TWS Zero Buds Boompods,bicicleta,BP-20,"Audífonos inalámbricos plásticos Bluetooth 5.0. Intraauriculares. Funciona como manos libres. Hasta 5 horas de carga. Con estuche compacto portátil de recarga con estimado de hasta 20 horas. Conexión automática. Tecnología touch (sin botones), es sensible a la presión en la parte superior de cada audífono para las funciones. Empaque caja individual. Sin marca Unidades por Caja: 72   Unidades  Empaque: 43,0    X 25,0 X 32,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-TWS-zero-buds-boompods/9643/414,"['BP-20_1.jpg', 'BP-20_2.jpg', 'BP-20_3.jpg', 'BP-20_4.jpg', 'BP-20_5.jpg', 'BP-20_6.jpg', 'BP-20_7.jpg', 'BP-20_8.jpg']"
Audifonos Bluetooth Boompods Boombuds Go,bicicleta,BP-15,"Audífonos inalámbricos plásticos Bluetooth 5.0. Funciona como manos libres. Resistente a la humedad, tecnología IPX4. Hasta 5 horas de carga. Con estuche portátil de recarga con estimado de hasta 20 horas. Empaque caja individual. Sin marca Unidades por Caja: 48   Unidades  Empaque: 50,0    X 47,0 X 25,0 / 8,0 Kg",https://www.catalogospromocionales.com/p/audifonos-bluetooth-Boompods-boombuds-go/8963/414,"['BP-15_1.jpg', 'BP-15_2.jpg', 'BP-15_3.jpg', 'BP-15_4.jpg']"
Gorra Trucker,bicicleta,CAP-22,"5 paneles, frente en poliéster espumado y cuatro paneles en poliéster-malla. Botón forrado y cierre a presión. Marca: Se define por puntadas / Bordado o screen / Sublimación en los colores que tienen panel blanco Unidades por Caja: 200   Unidades  Empaque: 65,0    X 45,0 X 38,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/gorra-trucker/3502/414,"['CAP-22_1.jpg', 'CAP-22_2.jpg', 'CAP-22_3.jpg', 'CAP-22_4.jpg', 'CAP-22_5.jpg', 'CAP-22_6.jpg', 'CAP-22_7.jpg', 'CAP-22_8.jpg', 'CAP-22_9.jpg', 'CAP-22_10.jpg', 'CAP-22_11.jpg', 'CAP-22_12.jpg', 'CAP-22_13.jpg', 'CAP-22_14.jpg', 'CAP-22_15.jpg', 'CAP-22_16.jpg', 'CAP-22_17.jpg']"
